id,asset,current_state,evidence,mechanism,severity,confidence,dependency
F11,Business 3929095220517711 catalogues,"Three commerce catalogues: 2555447634850889 Pastry Skincare Products (47 items, used by ads, pixel connected, batch_api source ""App 2125102444404598"", no partner integration record); 875733698715725 Shopify Product Catalog (4iqvgt-rc.myshopify.com) System User (26 products, 39 sets); 1514822569170254 Products from pastryskincare.co.za (52 products, created 2024)","report section 5 (ads_catalog_list_catalogs, ads_catalog_get_data_sources, ads_catalog_list_partner_integrations outputs)",Duplicate catalogues with different item counts create ambiguity about the source of truth and feed owner; the identity of app 2125102444404598 is NOT VERIFIED.,Low-Medium,High on existence / Low on ownership,Commerce Manager and app settings inspection
F12,Catalogue 2555447634850889 identifiers vs pixel content_ids,retailer_id = Shopify variant ID (e.g. 46989386907889); retailer_product_group_id = Shopify product ID (e.g. 8818191630577); pixel content_ids match the catalogue at 100% over 28 days with 0 IDs matched to other catalogues,catalog_products_2555447634850889.csv; ads_catalog_event_source_get_health output,"Pixel events are keyed on variant IDs, which deviates from the stated PNCapital governance (Shopify product ID) but is internally consistent inside Meta; not a delivery defect.",Low,High,Analyzify configuration review (not accessible here)
F13,Catalogue 2555447634850889 product set 1689686838523869 All Products (used by all three DPA ads),"4 items out of stock and excluded from dynamic ads (Mandelic Blackcurrant 26767364529595138, Anti-Pigment Hand Cream 26251588507861804, HA Body Lotion Vanilla 35100388522893525, HA Hand Cream coconut 26293201886982385); diagnostics: PRODUCT_OUT_OF_STOCK must_fix (4), not_enough_images opportunity (47)",ads_catalog_get_diagnostics; catalog_products csv,Hero SKUs are missing from DPA rotation and from the main video ad destination (F02); single-image items limit Shops and DPA presentation.,Medium,High,Stock replenishment; image assets
F14,Pixel 203047029058550,"Active; browser 283,403 vs server 178,276 events (Aug 6-Sep 6); Purchase EMQ 9.1, AddToCart 6.8, ViewContent 6.7; custom events NewCustomerPurchase (796) and ReturningCustomerPurchase (306) fire alongside Purchase (1,104); 0 event rules, 0 custom conversions; Lead 95 and Contact 143 events present",pixel_event_match_quality.csv; pixel_events_daily.csv; pixel_events_by_source_daily.csv,"Purchase signal quality is strong. Browser/server deduplication, event_id presence and the sender of the custom events are NOT VERIFIED (Events Manager detail not exposed). No proven defect materially changes the commercial decisions in this report.",Low,Medium,Events Manager / Test Events access
F15,"Ad sets 120248284913190393 / 120248284914700393 / 120248284917990393 (TEST_REELS_ZA W1-W3), 15 ads, ZAR250/day each","In learning phase 9 days after creation with 14-23 attributed conversions each; W3 ZAR2,135 / 16 purchases / ROAS 6.7; W2 ZAR2,132 / 23 / ROAS 9.0; W1 ZAR2,138 / 14 / ROAS 4.7; spend concentrated in one or two of the five ads per set",adset_inventory.csv; ad_scorecard_periods.csv L28 and L7,"Meta guidance: an ad set exits learning at about 50 optimisation events in the week after its last significant edit. At 14-23 per 9 days these sets are unlikely to exit, and per-ad results (0-21 purchases) are too small to call winners or losers.",Low-Medium,High,Decision on test duration or consolidation
F16,"Change history: ""Ads Automation Pastry"" (MarketingAgent) plus manual Power Editor and iOS-app edits","1,205 change events Jun 1-Sep 6; 503 by MarketingAgent; campaign renames, targeting rewrites (2026-08-05, 08-14, 08-28) and repeated status toggles (8-10 per INTL ad on 2026-08-28); PASTRY_DPA_Broad_Acquisition paused 2026-08-11 and re-enabled 2026-08-13 from the iOS app; account spend was ZAR0 on 2026-08-12",change_history_significant.csv; evidence/raw/account_daily.json,Automation and manual edits overlap without a visible single owner; the 2026-08-11 to 08-13 pause created a delivery gap and a learning reset on the best campaign.,Low-Medium,High,Operating agreement on account edits
F17,"Text overlays in Reels-format previews (ads 120248284932400393 inner thigh, 120248284925050393 underarm/sweat, 120248284944650393 body serum, 120247999501100393 hand cream)",Preview frames show the key text line in the lower third (about 70-85% of frame height) of a 9:16 frame,ads_get_ad_preview INSTAGRAM_REELS frames inspected 2026-09-06; Meta help article 980593475366490,"Text in the lower band can be covered by the Reels caption and CTA interface, reducing sound-off comprehension; inferred from one frame per ad, not from playback.",Low,Low-Medium,Playback review with the Ads Manager safe-zone guardrail
F18,"Concept 18089893955557030 (Salicylic + Vitamin C EXACT recut, Aug 14) vs 18088093730346995 (original post, May)","Original post: ZAR12,638 / 64 purchases / CPA ZAR197 / ROAS 4.2 (L90, retargeting-heavy AS1 ad set). Recut with exact-product page and product-pair headline: ZAR1,975 / 24 purchases / CPA ZAR82 / ROAS 13.5 (L28, broad)",concept_aggregation_L90.csv; ad_scorecard_periods.csv,"Same core video, different headline, destination and audience; direction favours the exact-product recut but audiences differ and n=24, so it is a hypothesis to confirm, not a proven creative effect.",Info,Medium,Controlled test on one variable
F19,"Concepts 17894570910595157 (body acne POV), 18007465448764457 (dry brushing), 18111724246804433 (stretch-mark recut), 18362479630212526 (inner thigh)",L90 CPA ZAR74-87 and ROAS 10.7-12.4 with 11-27 purchases each; ThruPlay per play 0.13-0.17; 22-37 saves per ad in L28; each lives in one or two ad sets only,concept_aggregation_L90.csv; ad_scorecard_periods.csv,Efficient but under-exposed concepts; expansion into the broad A1 ad set is the lowest-risk additive test in the account.,Info (opportunity),Medium (small n),Budget headroom NOT VERIFIED
F20,Ad 120248284925050393 W1__02__UNDERARM_PIGMENTATION_AND_SWEAT (IG media 18348472762247625),"L28 ZAR1,570 / 9 purchases / CPA ZAR174 / ROAS 3.7; outbound CTR 1.9%, LPV per click 0.94, ATC/LPV 0.19, purchase per checkout 0.26",ad_scorecard_periods.csv,"Clicks arrive and pages load, but add-to-cart per landing view is below account; the ""hack"" framing may attract curiosity rather than purchase intent. Small n.",Low,Low-Medium,More data or a destination check
F21,Organic Instagram and Facebook Reels (all),No Instagram professional account is exposed to the connector (ads_get_ig_accounts returned an empty list); instagram.com and facebook.com are blocked by egress policy,source_access_register.csv,"Organic plays, reach, watch time, retention, shares, saves, comments and follows are NOT ACCESSIBLE; every organic-to-paid recommendation is therefore evidence-needed.",Coverage gap,High,Business Suite export or Instagram Graph API access
F22,Shopify store pastryskincare.co.za,Shopify MCP token expired; storefront blocked by egress policy,source_access_register.csv,"Order and revenue truth, stock, checkout path and destination consistency are NOT VERIFIED; Meta attribution is the only sales signal in this report.",Coverage gap,High,Re-authorise the Shopify connector; run from an environment with web access
F23,"INTL ad copy (15 creatives, e.g. 1256482663222241)","Primary text: ""DHL Express international delivery is available. Delivery fees are calculated at checkout; duties and import fees may apply.""",creative_inventory.csv,Existing copy states delivery terms that are NOT VERIFIED against store settings; PNCapital drafting rules for new copy exclude delivery claims.,Low,Medium,Store shipping settings
F24,Account 2972238613000896 period trend,"L28 vs P28: spend -13.8% (ZAR47,054 vs 54,590), purchases -3.1% (568 vs 586), CPA -11.1% (ZAR82.84 vs 93.16), outbound CTR 2.36% vs 1.90%, frequency 5.97 vs 7.63, reach +9.6%. L90 vs P90: spend +125%, purchases +96%, CPM ZAR47.54 vs 33.82, CPA ZAR92.37 vs 80.20, ROAS 9.24 vs 11.49",account_baseline_periods.csv,"Recent structure (broad DPA plus new Reels concepts) is more efficient per purchase than the July mix, while the 90-day scale-up raised CPM and CPA versus March-June. Scaling cost, not fatigue, explains the 90-day CPA drift; no single-creative fatigue is evidenced.",Info,High,None
