ad_id,creative_id,concept,frame_observation,product_visibility,text_position_vs_safe_zone,claim_or_rights_flag,other,coverage,source
120248284944950393,1754580525794575,Underarm routine,"Underarm close-up in bathroom; caption ""HOW TO KEEP YOUR UNDERARMS SMOOTH AND BRIGHT AFTER SHAVING"" ~75%",no product,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284926410393,1048949520952779,Body pigmentation by area,"Back with pigmentation shown, creator in corner; title ""PASTRY SKINCARE PRODUCTS THAT HELP WITH BODY PIGMENTATION"" top",no product,top: safe,skin condition close-up,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284946200393,1738342593737521,Top five best sellers,"Staff in store; caption ""THESE ARE PASTRY SKINCARE TOP SELLING PRODUCTS"" ~72%",shelf products only,lower-middle,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284933230393,2101839031212801,Keratosis pilaris routine,"Creator in store; ""KERATOSIS PILARIS"" centre with three skin close-up photos at bottom",no product,bottom photos may be covered by UI,condition photos; no claim text,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999500510393,1672356397190835,Five years evergreen,Pastry-branded truck with balloons outside Sandton City; no text,no product close-up,n/a,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120239422623020393,2029084745161865,Festive duo kits,"Leg in bath; ""IF YOU HAVE STUBBORN BODY HYPERPIGMENTATION... HERE IS A KIT FOR YOU"" upper-middle",no product in frame,safe,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120239422736530393,2412338129276655,Premium body wash in store,"Retail display of Mandelic Acid Body Wash; caption ""INSTORE FIRST IMPRESSIONS OF THE NEW PASTRY PREMIUM BODY WASH"" centre; shelf card lists ""Clears hyperpigmentation""",product visible,centre: safe,"shelf card text ""Clears hyperpigmentation"" visible in frame",none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120243642257330393,1487817019559391,Salicylic + Vitamin C (May original),Identical green-card frame,no product,see above,same HIGH claim risk,same,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120243641897440393,1052941484078554,Stretch marks (May),Same Niacinamide lotion frame,product visible,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120246229373460393,1016327727870773,5 years: is it cake,"Cake shaped like Niacinamide Body Lotion being cut; ""We are celebrating our 5th Birthday..."" top",product replica,top: safe,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120246229373440393,1011306704837234,Birthday teaser,Same cake frame,product replica,top,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120243642264470393,1014884021106011,Long weekend POV,"Marker writing on lotion bottle; ""POV: YOUR SISTERS ARE OVER THIS LONG WEEKEND"" top",product visible,top: safe,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999502140393,996050220134487,Premium Mandelic exact,Same in-store display frame,product visible,centre,"shelf card ""Clears hyperpigmentation""",none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284957700393,4657722504552164,INTL dry brushing,Same dry-brushing title card,no product,top,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
