scope,list_or_campaign,keyword,match_type,rationale
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,cerave,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,the ordinary,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,standard beauty,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,medicube,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,aplb,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,neutrogena,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,eucerin,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,la roche posay,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,bio oil,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,vaseline,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,clere,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,portia m,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,good stuff,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,dr teals,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,olay,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,aveeno,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,shower to shower,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,kiehls,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,loccitane,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,minimalist,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,veerox,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,avon,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,justine,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Retailers,dischem,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,dis-chem,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,clicks,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,woolworths,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,takealot,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,shoprite,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,checkers,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,pick n pay,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,amazon,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,superbalist,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C5),Pastry | NEG | Retailers,faithful to nature,PHRASE,"Retailer-intent queries (dischem, clicks, woolworths) in Semrush lists; note Pastry_Brand_Search keeps them (it converted on ""pastry skincare clicks"")"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,recipe,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,recipes,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,cake,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,cakes,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,bakery,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,baking,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,pie,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,croissant,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,how to make,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,diy,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,homemade,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,home remedies,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,meaning,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,causes,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,what is,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,side effects,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,laser,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,chemical peel,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,dermatologist,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,doctor,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,clinic,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,wholesale,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,bulk,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,supplier,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,distributor,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,private label,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,job,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,jobs,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,vacancies,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,salary,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,course,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,free,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,cheap,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,review,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,reviews,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,vs,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,before and after,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,pregnancy,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,boy or girl,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,penis,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,men,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,mens,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,baby,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,kids,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C4),Pastry | NEG | Informational and off-target,child,PHRASE,"Pastry as a food word (recipe/cake/bakery), informational modifiers (meaning/causes/how to make), clinical/procedure intent, B2B, jobs, comparison; ""men""/""kids""/""pregnancy"" excluded because copy and pages are not positioned for them"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,whitening,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,lightening,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,bleach,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,bleaching,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,skin lightening,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,hand cream,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
shared list (apply to C1-C5),Pastry | NEG | Positioning and stock,hand lotion,PHRASE,"Brand copy says ""No bleaching""; whitening/lightening queries conflict with positioning and policy risk. Hand cream negated while Anti-Pigment Hand Cream SPF30 is OUT_OF_STOCK in the feed (2026-09-06)"
"campaign C1, C2, C3",campaign-level,face,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,facial,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,face serum,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,face wash,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,face cream,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,eye,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,lip,PHRASE,Keep face intent in C4
"campaign C1, C2, C3",campaign-level,lips,PHRASE,Keep face intent in C4
campaign C4,campaign-level,body,PHRASE,Keep body intent in C1-C3
