finding_id,surface,url_or_pattern,exact_finding,current_state,severity,confidence,root_cause,affected_count,evidence_source,retrieval_date,recommendation,dependency,validation_test
F-ARCH-04,architecture,"/collections/afrosundae (title Amazi); /collections/l-oreal-elvive (title Lanolab); /collections/love-kinks (title Lumi Glo); /collections/bree-probiotics (title Breast Tape by Si); + 3 more","Recycled collections: handle says one brand, title says another — URLs mislead users and Google, and nav links inherit the confusion","Verified handle/title pairs in collections pagination",medium,high,"Old brand collections repurposed for new brands by editing title only",7 observed,"shopify-content-architecture.json handle_title_mismatches_observed",2026-07-31,"Create correctly-handled collections for the new brands and 301 the old handles — or restore original brand content; per-collection decision",per-collection decision,"handle and title agree for every brand collection"
F-ARCH-05,architecture,footer menu item Careers -> /pages/retail-assistants,"Footer links to an UNPUBLISHED page (isPublished false) while a published 'careers' page exists (handle careers, published 2026-01-14)",Verified: menus + pages queries same run,low,high,"Link written to draft page handle",1,"shopify-content-architecture.json footer_default.anomaly + pages.unpublished",2026-07-31,"Repoint footer Careers to /pages/careers",none,"footer careers link returns 200"
F-ARCH-06,architecture,"~225 programmatic brand-x-category collections (e.g. anua-toners, cosrx-moisturisers, laneige-lip-care pattern; pagination pages 6-11)","Programmatic collection series with EMPTY body description AND null seo.title AND null seo.description, typical 2-16 products each","Verified across pagination pages 6-11 (248 of 250 empty)",high,high,"Bulk-generated brand-x-category series shipped without content or SEO fields",~225 collections,"shopify-content-architecture.json empty_description_note + per_page_tallies",2026-07-31,"Decide the series' purpose: if meant to rank add unique intro + seo fields in priority order (start with nav-linked/highest product counts); if internal-only consider noindex via existing theme logic criteria — decision item, not blanket action","D7 scope decision + content resourcing","sampled series pages show either unique content or intentional noindex"
F-ONPAGE-01,onpage,collections site-wide,"264 of 525 collections (50.3%) lack seo.description; 382 (72.8%) have empty body description; only 128 (24.4%) have >=100-char descriptions","Verified counts from full 525-collection pagination; theme generates a fallback meta description for collections with products but no page_description (verified in layout logic) so SERP snippets degrade to boilerplate rather than vanish",high,high,"Content debt concentrated in programmatic series (F-ARCH-06) plus ~140 non-programmatic gaps",382 collections,"shopify-content-architecture.json collections.* + shopify-theme-config.json meta_description_logic",2026-07-31,"Prioritized description program: nav-linked + top-product-count collections first (skincare 1669, korean-skincare 525, acne 360 already rich — target the empty high-traffic remainder)",content resourcing,"seo.description coverage >75% on nav-linked collections; boilerplate fallback share falling"
F-ONPAGE-02,onpage,131 active products with descriptionHtml <200 chars,"131 active products (8.1%) have thin descriptions; worst cluster is local brands: Purpul Hair, Native Child, Brothers Beard, Ndanaka (all also missing barcodes)","Verified from 100% active-catalog scan (1623/1623)",medium,high,"Local-brand onboarding without full product copy; supplier data sparse",131 products,"shopify-products-quality.json aggregates + worstExamples.handles",2026-07-31,"Source accurate copy from the brands (dispatch forbids fabricating claims); prioritize products in nav-linked collections","supplier copy inputs (no fabrication)","thin-description count <50 with sourced copy only"
F-ONPAGE-03,onpage,62 active products with missing/empty featured-image alt,"62 products (3.8%) have absent or empty featured-media alt text","Verified from full active scan; CAVEAT per dispatch: intentional decorative empty-alt must not be counted as opportunity — which of the 62 are intentional is NOT VERIFIED",low,medium,"Mixed: missing media vs unset alt vs possibly intentional",62 products,"shopify-products-quality.json aggregates.featuredImageAltMissingOrEmpty",2026-07-31,"Review the 62 for product-identifying alt where the image is the product photo (product photos are not decorative); leave intentional decorative cases alone","manual review list","every product-photo featured image has descriptive alt; intentional empties documented"
F-ONPAGE-04,onpage,"/pages/brands; /pages/make-services","Google-indexed titles are raw slugs: 'brands – BeautyOnTApp' and 'make-services – BeautyOnTApp' (page titles in Shopify are also lowercase slugs: 'brands' is titled 'Brands' but 'make-services' is titled 'Beauty Services' — indexed title lags or SEO field unset; Page.seo not queryable via Admin GraphQL)","Indexed titles observed (US-origin) 2026-07-31; Shopify page titles verified same day; page-level SEO fields NOT VERIFIED (no Page.seo field in Admin API)",low,medium,"Page SEO titles unset (or index lag); title fallback = page title",2 pages,"websearch-brand.json + shopify-content-architecture.json pages.all_pages + seo_fields_note",2026-07-31,"Set page SEO titles in Admin UI for brands + make-services (existing pairs preserved elsewhere per dispatch constraint on titles)",none,"indexed titles show branded descriptive titles after recrawl"
F-CONT-01,onpage,/blogs/news,"Blog stale: newest published article 2026-04-11 (~3.5 months before audit); only 9 published articles total; 3 drafts unpublished, 2 of which have public URLs redirected to older articles","Verified via articles query (publishedAt sort) + redirect rows",medium,high,"No publishing cadence; drafts parked with redirects",1 blog / 12 articles,"shopify-content-architecture.json blogs_and_articles + url_redirects",2026-07-31,"Resume cadence with search-intent posts (ingredient pages show the working pattern); publish or delete the 3 drafts and remove their stopgap redirects",content resourcing,"new post published; draft redirects resolved"
F-LOCAL-01,local,/pages/locations vs Shopify locations,"Website's Google-indexed title claims '7 SA Locations' (verbatim observed) and WebSearch tool-synthesized answers name a Hemingways Mall (East London) store — with an opening date of 2026-06-27 and a full address (synthesis, NOT verbatim SERP content) — but Shopify holds only 6 retail locations + Head Office; no Hemingways location object exists","Indexed title verbatim + tool synthesis observed 2026-07-31; Shopify locations query same day returned Canal Walk, Fourways, Gateway Umhlanga, Menlyn Park, Sandton City, Mall of Africa, Head Office only",high,high (Shopify side); medium (Hemingways claim — synthesis-sourced),"Most consistent explanation: a store opened 2026-06-27 without Shopify location setup — but that date/address is tool synthesis, so the store facts are NOT VERIFIED",1 page + 7 location objects,"websearch-brand.json (indexed title; synthesis caveat noted in evidence) + websearch-local.json (synthesized store details) + shopify-theme-config.json locations",2026-07-31,"T to reconcile: if Hemingways is real, create its Shopify location before any local-inventory work (dispatch P14); if not, correct the page claim — decision D5","T store facts (must not be fabricated)","Shopify locations list matches the live page's store list 1:1"
F-LOCAL-02,local,Shopify location names,"Naming inconsistent across locations: 'BeautyOnTApp Canal Walk' vs 'BeautyonTApp.  Mall of Africa' (case variant, period, double space) vs 'BeautyonTApp. Head Office'","Verified location names in Admin",low,high,"Manual entry drift","3 of 7 names inconsistent","shopify-theme-config.json locations.nodes",2026-07-31,"Normalize location names to one brand format before GBP/NAP reconciliation (names feed exports and any future local-inventory setup)",none,"all location names share one format"
F-LOCAL-03,local,all 7 claimed stores,"Google Business Profile state (existence, categories, NAP, hours, reviews, photos) is NOT VERIFIED for every location — no authenticated GBP channel in this session and dispatch forbids inferring from public maps","Evidence gap recorded; zero GBP artifacts appeared in WebSearch results (which proves nothing — WebSearch does not render local packs)",blocking-unknown,high,"No GBP access channel in this environment",7 locations,"source-probes.json business_profile + websearch-local.json cross_query_observations",2026-07-31,"Run an authenticated GBP audit (owner account) as the first local-surface action — file 06 row per store awaits this data","D1 access decision","every store has a verified GBP row in 06 with primary category + NAP match"
F-LOCAL-04,local,mall directory listings,"Mall-directory pages observed for only 3 of 7 malls this run (sandtoncity.com, mallofafrica.co.za, menlynpark.co.za); a third-party Menlyn listing surfaced the LEGACY domain shopbeautyontapp.co.za as the store website","US-origin observation; absence for Gateway/Canal Walk/Fourways/Hemingways is NOT proof pages don't exist; Menlyn domain claim NOT VERIFIED (page unfetchable)",medium,low,"Citations built at different times; legacy domain in older listings",4 malls unobserved; 1 legacy-domain citation,"websearch-local.json cross_query_observations",2026-07-31,"During GBP/citation audit, verify each mall directory page and get legacy-domain citations updated to beautyontapp.com","D1 + outreach (report-only now: dispatch forbids contacting external parties this session)","all mall listings cite beautyontapp.com"
F-LOCAL-05,local,Shopify location fulfillment flags,"All 6 mall stores have fulfillsOnlineOrders=false (only Head Office fulfills) — local-inventory feeds/pickup surfaces would have no store-level inventory basis today","Verified flags in Admin; per dispatch, local-inventory readiness must NOT be declared and is NOT: prerequisites (GBP links, store codes, location inventory) unreconciled",informational,high,"Centralized fulfillment model",6 stores,"shopify-theme-config.json locations.note",2026-07-31,"No action; record as the local-inventory baseline fact for any future readiness assessment (P14)","F-LOCAL-01, F-LOCAL-03","n/a — baseline"
F-SHOP-01,shopping,active catalog first-variant barcode,"Only 27 of 1623 active products (1.66%) carry a barcode (GTIN proxy); 1596 missing","Verified from 100% active-catalog scan; how Simprosys handles missing GTINs (identifier_exists, MPN fallback) and actual Merchant Center disapprovals NOT VERIFIED (MC 5717759749 inaccessible)",high,high,"Barcodes never captured at product onboarding",1596 products,"shopify-products-quality.json aggregates",2026-07-31,"Read MC diagnostics first (authenticated) to size the real impact; then source GTINs from suppliers/GS1 starting with top-vendor products (COSRX 100, Medicube 51, ANUA 46...) — decision D6","MC access (D1) + supplier data","MC item-level GTIN warnings falling; barcode coverage rising monthly (KPI in 14)"
F-SHOP-02,shopping,product taxonomy fields,"546 active products (33.6%) have empty productType; Shopify standard taxonomy metafields exist (47 definitions) but per-product fill rate NOT VERIFIED","productType verified from full scan; taxonomy metaobject/metafield definitions verified present",medium,high,"Categorization skipped at onboarding; taxonomy capability unused",546 products,"shopify-products-quality.json supplementary + shopify-content-architecture.json metaobject/metafield definitions",2026-07-31,"Fill productType (and Google category mapping in the feed app) for the 546 — improves feed matching; verify actual feed mapping in Simprosys before editing anything",feed-app readback,"empty productType <5%"
F-SHOP-03,shopping,feed plumbing,"Simprosys metafield namespace mm-google-shopping (key custom_product) exists on products — indirect evidence the Simprosys feed app is wired; direct app-install list NOT VERIFIED (token lacks read_apps scope); 'Google & YouTube' channel IS present as a publication (observe-only per dispatch P16)","Verified metafield definition + publications list; MC link state and feed health NOT VERIFIED",informational,medium,"Session token scope + no MC access",n/a,"shopify-content-architecture.json metafield_definitions + shopify-theme-config.json sales_channels_and_apps",2026-07-31,"None this session; MC diagnostics readback is the unblocking action; do NOT enable Google & YouTube product sync (dispatch P16)","D1","MC shows Simprosys as active feed source with items serving"
F-SHOP-04,shopping,18 active products with no onlineStoreUrl,"18 active products are not published to the Online Store — if they are in the feed their landing pages fail; if not they are invisible both ways","Verified count from full scan; whether they're in the Simprosys feed NOT VERIFIED",medium,high,"Publishing scope missed for these products",18 products,"shopify-products-quality.json supplementary.noOnlineStoreUrl",2026-07-31,"Publish to Online Store or exclude from feeds — per-product check during MC readback","D1 for feed cross-check","every active fed product has a 200 landing page"
F-ENT-01,entities,site-wide JSON-LD,"Theme renders schema-breadcrumb + schema-local-business on all pages, schema-organization on home, schema-about on about-us; Product schema is NOT in the theme (consistent with Webrex ownership per dispatch — webrex asset file present, loaded on product pages)","Render calls + snippet files verified in theme; RENDERED output validity NOT VERIFIED (cannot fetch HTML or run Rich Results test this session)",medium,medium,"n/a — state record; validation gap",4 schema snippets,"shopify-theme-config.json json_ld_renders_quote + main_theme_seo_files",2026-07-31,"Validate rendered JSON-LD (Rich Results test) from an unblocked vantage; confirm LocalBusiness output matches real store NAP once F-LOCAL-01 resolves","D2 + F-LOCAL-01","all four schema types validate with zero errors on sample URLs"
F-ENT-02,entities,shopbeautyontapp.co.za,"Legacy domain still in Google's index (observed URL shopbeautyontapp.co.za/brands/pastry-skincare/ with the CURRENT brand title) and it OUTRANKED beautyontapp.com on the 'COSRX south africa' query (position 9; main site absent); the domain is registered in Shopify domains list; Android app package id is app.shopbeautyontapp.co.za","Indexed presence + Shopify domain registration verified; redirect behavior of the legacy domain NOT VERIFIED (egress blocked)",high,medium,"Legacy WooCommerce-era domain: redirect state unknown; Google retains old URLs; equity possibly split",unknown URL count,"websearch-brand.json legacy_domain_observed + websearch-category.json missing_from + shopify-theme-config.json domains",2026-07-31,"Verify from unblocked vantage: does every shopbeautyontapp.co.za URL 301 to its beautyontapp.com equivalent (not just home)? If path-level redirects are missing, that's recoverable equity — report to T (D4); dispatch P8 keeps pastryskincare.co.za out of scope",D2,"sample legacy URLs all 301 to path equivalents"
F-ENT-03,entities,brand reputation surfaces,"A Hellopeter result title containing '2.7' rating indicator was observed for the brand query; page content NOT VERIFIED (unfetchable)","US-origin observed title only",medium,low,"Review volume/response practices unknown","1 observed listing","websearch-brand.json gaps list (Hellopeter row)",2026-07-31,"Read the Hellopeter profile from an unblocked vantage; if 2.7 is the live score, reputation management becomes an authority-surface workstream (report-only)",D2,"verified Hellopeter score + response coverage recorded"
F-AUTH-01,authority,beautyontapp.com backlink profile,"Backlink/referring-domain profile NOT VERIFIED: Semrush skipped by T's directive this session ('Skip semrush', this conversation 2026-07-31); GSC Links report also inaccessible (D1)","Evidence gap",blocking-unknown,high,"No accessible authority data source this session",n/a,"user message this conversation + source-probes.json",2026-07-31,"Capture GSC Links export during D1 unblocking; defer all authority-gap conclusions until then",D1,"file 08 rows populated from GSC Links data"
F-AI-01,ai_search,/llms.txt + /pages/llms,"A published PAGE titled 'AI Agents & LLMs' (handle llms, updated 2026-07-31T03:47Z) exists — but no llms.txt file exists in the MAIN theme (0 template/asset matches), and a root /llms.txt could not be fetched to confirm absence","Page verified in Admin; theme file absence verified; root URL state NOT VERIFIED (egress blocked)",low,medium,"GEO effort implemented as a page; root-convention file likely absent (theme cannot serve /llms.txt without a template or proxy)",1,"shopify-content-architecture.json pages + shopify-theme-config.json llms_agents_check",2026-07-31,"Report-only: llms.txt is a non-standardized emerging convention with no confirmed Google eligibility — dispatch requires official-doc support before recommending; docs unreachable this session",official docs access,"n/a — decision-gated"
F-AI-02,ai_search,"/pages/ingredient-glossary + 10 ingredient-* pages","11 ingredient landing pages exist (published 2026-04-19; glossary hub updated 2026-07-31) with question-shaped titles ('Retinol — Benefits, How to Use & Top Products in South Africa') — the site's strongest passage-answerable asset set","Verified in pages list; whether they earn AI Overview citations NOT VERIFIED (no ZA SERP access)",strength,high,"Deliberate GEO/AEO build (matches dispatch context)",11 pages,"shopify-content-architecture.json pages.all_pages",2026-07-31,"Interlink these hubs from matching collections/products; measure citations once ZA observation exists","D2 for measurement","ingredient pages appear as sources in observed ZA AI Overviews"
F-PERF-01,performance,"home; /collections/korean-skincare; /collections/skincare; /pages/locations (mobile)","Field CWV (CrUX) and lab data NOT VERIFIED this session: keyless PageSpeed API daily quota exhausted (HTTP 429 'Queries per day', project 583797351490, 4 attempts 05:01-05:02Z); GSC CWV report also inaccessible. Theme code shows CWV-conscious engineering (LCP image preload with fetchpriority=high, deferred module scripts, inline critical CSS reserving header geometry) — code evidence, not field truth",Evidence gap + verified code posture,blocking-unknown,high,"No CWV data channel this session",4 target URLs,"psi-fetch-log.txt + psi-home.BLOCKED.json + shopify-theme-config.json preload_and_script_hints_quote",2026-07-31,"Re-run PSI with an API key (or after quota reset) and pull GSC CWV during D1; only then write file 10 rows with real percentiles","D1 / API key","file 10 populated with p75 field metrics per URL group"
F-MEAS-01,measurement,site <head>,"Two google-site-verification meta tags present in layout — property verification plumbing exists for GSC access","Verified in layout head extract",strength,high,n/a,2 tags,"shopify-theme-config.json site_verification_quote",2026-07-31,"Use the verified property to grant API/report access for future sessions (D1)",D1,"GSC property accessible to research tooling"
